Mechanics|Description|Score
Abstraction|The process of extracting features from a source in a given context and putting them isolated in a new context; or a intrinsically isolated set of features.|0
Decomposition|The process of breaking things down into parts. Reformulating or recognizing a whole as a collection of constituents. Contrary to composition, which is the process of gluing things up into one, reformulating or recognizing a collection of constituents as whole.|0
Algorithm|A finite collection of unambiguous steps.|0
Data|A quantized information. Information made up by a finite set of discrete units, what allows it to be transmitted and operated by Computers.|0
Automation|The process of granting autonomy. Decreasing dependency of your guidance.|0
Evaluation|The process of defining or recognizing values through a detailed examination.|0
